pathway	FDR	NES	cluster	Direction	NES.abs
HALLMARK_MYC_TARGETS_V1	0.044503996	-1.351409773	B_c22	Down	1.351409773
REACTOME_TOLL_RECEPTOR_CASCADES	0.042244067	-1.405032471	B_c22	Down	1.405032471
REACTOME_SIGNALING_BY_NOTCH1	0.042057806	-1.436082089	B_c22	Down	1.436082089
REACTOME_TRIF_MEDIATED_TLR3_SIGNALING	0.035070638	-1.450493613	B_c22	Down	1.450493613
REACTOME_ACTIVATED_TLR4_SIGNALLING	0.02727138	-1.462779014	B_c22	Down	1.462779014
REACTOME_MAP_KINASE_ACTIVATION_IN_TLR_CASCADE	0.025390821	-1.491557104	B_c22	Down	1.491557104
REACTOME_NFKB_AND_MAP_KINASES_ACTIVATION_MEDIATED_BY_TLR4_SIGNALING_REPERTOIRE	0.020263717	-1.500153238	B_c22	Down	1.500153238
REACTOME_MAPK_TARGETS_NUCLEAR_EVENTS_MEDIATED_BY_MAP_KINASES	0.017352009	-1.511949124	B_c22	Down	1.511949124
